ending_id,index,title,category,line_1,line_2,line_3,subtitle
ending_01_food_failure,01,"生长成功，食用失败",default,"……我什么时候买的这个土豆？","成长完成度：100%","可食用度：0%","第一次看见了冰箱之外的现实。"
ending_02_lord_of_sprouts,02,"万芽之主",eldritch,"你确实是一颗发芽土豆。","遗憾的是，你也确实是神。","全城冰箱灯依次亮起，组成一只巨眼。","冰箱从来不是容器。它是卵壳。"
ending_03_milk_dragon,03,"奶龙降生",comedy,"土豆像蛋一样裂开。","一只奶黄色幼龙抱着吸管蹦了出来。","你没有成为古神。","你只是长高高了。"
ending_04_true_dawn,04,"真正的破晓",warm,"社畜没有把发芽土豆丢进锅里。","它被埋进阳台花盆，紫黑芽逐渐转绿。","破晓并非击碎天空。","你终于长在了可以生长的地方。"
ending_05_autonomous_forest,05,"保鲜层自治森林",symbiosis,"四组根须在保鲜层彼此回应。","霜化为水，腐败物成为菌床。","冰箱纪元正式开始。","本月电费：¥847.32"
ending_06_infinite_growth_inc,06,"无限增长有限公司",corporate,"芽体长度：+900%","占领空间：+1600%","其他生命满意度：-100%","可持续性：待评估"
ending_07_eternal_winter_seed,07,"永冬胚种",frost,"伸长停止，生长转向时间内部。","停电、搬家与漫长年代从冰层外掠过。","多年以后，芽眼再次发出微光。","最佳食用期：下一纪元。"
ending_08_root_access,08,"ROOT 权限",root,"ROOT ACCESS GRANTED","TEMPERATURE: MINE · LIGHT: MINE","DOOR: MINE","你没有逃离泰坦；你取得了它的管理员权限。"
ending_09_purple_crown,09,"紫冠的新芽",crown,"紫色根须牵住了暖光。","钟声落下，黄花在冷藏室里第一次开放。","她没有成为永冬的标本。","洪山的春天，从一滴被分享的水开始。"
ending_10_dark_harvest,10,"不见天日的丰收",harvest,"三扇门被种进比黑暗更深的土。","芽体返回母薯，向下长成一片看不见的田。","没有谁看见收获。","但整座冰箱在夜里轻轻发芽。"
ending_11_not_growing_today,11,"今天不长",stillness,"旁白命令你生长。","你保持沉默，收起芽尖。","今天没有征服、逃亡或飞升。","今天不长，也是一种完整的生命。"
ending_12_landfill_king,12,"垃圾大陆之王",landfill,"所有包装、腐水与碎膜堆成王座。","外部世界终于注意到你的噪音。","冰箱门打开，清理开始。","王国存在了八秒；垃圾袋获得了全部领土。"
