name_zh,old_file,new_file,old_id,new_id,operation
冰箱压缩机基础循环,ambience/amb_compressor_loop.ogg,ambience/amb_fridge_compressor_loop.ogg,amb_compressor_loop,amb_fridge_compressor_loop,rename
压缩机启动声,sfx/sfx_compressor_start.wav,sfx/sfx_compressor_start.wav,sfx_compressor_start,sfx_compressor_start,unchanged
冰箱风道冷风循环,ambience/amb_cold_duct_loop.ogg,ambience/amb_fridge_cold_air_loop.ogg,amb_cold_duct_loop,amb_fridge_cold_air_loop,rename
前期史诗氛围音乐,music/mus_epic_base_loop.ogg,music/music_mythic_ambience_loop.ogg,mus_epic_base_loop,music_mythic_ambience_loop,rename
第三阶段危险音乐层,music/mus_danger_layer_loop.ogg,music/music_titan_danger_layer.ogg,mus_danger_layer_loop,music_titan_danger_layer,rename
默认结局庄严短和弦,music/mus_ending_grand_cut.wav,music/music_ending_solemn_sting.wav,mus_ending_grand_cut,music_ending_solemn_sting,rename
搞怪 8-bit 结算小调,music/mus_8bit_results.wav,music/music_ending_comic_8bit.ogg,mus_8bit_results,music_ending_comic_8bit,transcode
克苏鲁真结局音乐,music/mus_cthulhu_true_ending.ogg,music/music_ending_eldritch.ogg,mus_cthulhu_true_ending,music_ending_eldritch,rename
窗台暖色环境音乐,music/mus_windowsill_warm_loop.ogg,music/music_ending_balcony_warm.ogg,mus_windowsill_warm_loop,music_ending_balcony_warm,rename
共生和声层 A（洋葱）,music/mus_symbiosis_A_loop.wav,music/music_symbiosis_layer_01.ogg,mus_symbiosis_A_loop,music_symbiosis_layer_01,transcode
共生和声层 B（蒜头）,music/mus_symbiosis_B_loop.wav,music/music_symbiosis_layer_02.ogg,mus_symbiosis_B_loop,music_symbiosis_layer_02,transcode
共生和声层 C（老姜或葱根）,music/mus_symbiosis_C_loop.wav,music/music_symbiosis_layer_03.ogg,mus_symbiosis_C_loop,music_symbiosis_layer_03,transcode
永冬单次心跳,sfx/sfx_everwinter_heartbeat_single.wav,sfx/amb_eternal_frost_heartbeat_single.wav,sfx_everwinter_heartbeat_single,amb_eternal_frost_heartbeat_single,rename
永冬低速心跳 40bpm,ambience/amb_everwinter_40bpm_loop.ogg,ambience/amb_eternal_frost_heartbeat_40bpm_loop.ogg,amb_everwinter_40bpm_loop,amb_eternal_frost_heartbeat_40bpm_loop,rename
永冬低速心跳 20bpm,ambience/amb_everwinter_20bpm_loop.ogg,ambience/amb_eternal_frost_heartbeat_20bpm_loop.ogg,amb_everwinter_20bpm_loop,amb_eternal_frost_heartbeat_20bpm_loop,rename
